"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.984785463,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.714647727,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.441838418,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.319868975,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.205851771,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.636597085,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.730848332,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.700312956,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.198579317,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.059905534,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.527437881,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.271115777,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.337455717,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.026935758,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.347785538,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.213742846,
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.724067239,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.833347929,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.213238983,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.33777574,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.633967885,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.739266758,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.282376598,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.290652036,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.575811679,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.974243132,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.486795896,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.94026927,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.729847562,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.42384889,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.221891089,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.498909206,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.48373443,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.831628355,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.516624692,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.225418231,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.02001809,
