"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","QGRWTH","Q","2017-Q1",0.433897819,
"AUS","GFCF","TOT","QGRWTH","Q","2017-Q2",0.77210772,
"AUS","GFCF","TOT","QGRWTH","Q","2017-Q3",2.603280896,
"AUS","GFCF","TOT","QGRWTH","Q","2017-Q4",-0.03366858,
"AUS","GFCF","TOT","QGRWTH","Q","2018-Q1",1.50955128,
"AUS","GFCF","TOT","QGRWTH","Q","2018-Q2",-0.528312802,
"AUS","GFCF","TOT","QGRWTH","Q","2018-Q3",0.474671365,
"AUS","GFCF","TOT","QGRWTH","Q","2018-Q4",-1.865881271,
"AUS","GFCF","TOT","QGRWTH","Q","2019-Q1",-0.438908454,
"AUS","GFCF","TOT","QGRWTH","Q","2019-Q2",-1.907997909,
"AUS","GFCF","TOT","QGRWTH","Q","2019-Q3",1.615596412,
"AUS","GFCF","TOT","QGRWTH","Q","2019-Q4",-0.492968211,
"AUS","GFCF","TOT","QGRWTH","Q","2020-Q1",-0.428652993,
"AUS","GFCF","TOT","QGRWTH","Q","2020-Q2",-5.477385605,
"AUS","GFCF","TOT","QGRWTH","Q","2020-Q3",1.595923396,
"AUS","GFCF","TOT","QGRWTH","Q","2020-Q4",3.837108894,
"AUS","GFCF","TOT","QGRWTH","Q","2021-Q1",4.931215995,
"AUS","GFCF","TOT","QGRWTH","Q","2021-Q2",3.157433247,
"AUS","GFCF","TOT","QGRWTH","Q","2021-Q3",0.254997793,
"AUS","GFCF","TOT","QGRWTH","Q","2021-Q4",-0.776091174,
"AUS","GFCF","TOT","QGRWTH","Q","2022-Q1",0.662208127,
"AUS","GFCF","TOT","QGRWTH","Q","2022-Q2",0.155892915,
"AUT","GFCF","TOT","QGRWTH","Q","2017-Q1",2.55563805,
"AUT","GFCF","TOT","QGRWTH","Q","2017-Q2",0.758866861,
"AUT","GFCF","TOT","QGRWTH","Q","2017-Q3",1.443729783,
"AUT","GFCF","TOT","QGRWTH","Q","2017-Q4",-0.557590495,
"AUT","GFCF","TOT","QGRWTH","Q","2018-Q1",-0.281581973,
"AUT","GFCF","TOT","QGRWTH","Q","2018-Q2",4.144001863,
"AUT","GFCF","TOT","QGRWTH","Q","2018-Q3",-0.562203557,
"AUT","GFCF","TOT","QGRWTH","Q","2018-Q4",4.444244027,
"AUT","GFCF","TOT","QGRWTH","Q","2019-Q1",0.897389739,
"AUT","GFCF","TOT","QGRWTH","Q","2019-Q2",0.047167356,
"AUT","GFCF","TOT","QGRWTH","Q","2019-Q3",0.067281766,
"AUT","GFCF","TOT","QGRWTH","Q","2019-Q4",-1.463874193,
"AUT","GFCF","TOT","QGRWTH","Q","2020-Q1",-1.18416018,
"AUT","GFCF","TOT","QGRWTH","Q","2020-Q2",-11.48099459,
"AUT","GFCF","TOT","QGRWTH","Q","2020-Q3",12.489324792,
"AUT","GFCF","TOT","QGRWTH","Q","2020-Q4",1.013172474,
"AUT","GFCF","TOT","QGRWTH","Q","2021-Q1",5.450163964,
"AUT","GFCF","TOT","QGRWTH","Q","2021-Q2",2.584426761,
"AUT","GFCF","TOT","QGRWTH","Q","2021-Q3",-5.198268706,
"AUT","GFCF","TOT","QGRWTH","Q","2021-Q4",1.400886244,
"AUT","GFCF","TOT","QGRWTH","Q","2022-Q1",1.443005761,
"AUT","GFCF","TOT","QGRWTH","Q","2022-Q2",-1.325023892,
"AUT","GFCF","TOT","QGRWTH","Q","2022-Q3",-0.345521972,
"BEL","GFCF","TOT","QGRWTH","Q","2017-Q1",1.897030026,
"BEL","GFCF","TOT","QGRWTH","Q","2017-Q2",1.569443888,
"BEL","GFCF","TOT","QGRWTH","Q","2017-Q3",-0.607040088,
"BEL","GFCF","TOT","QGRWTH","Q","2017-Q4",1.134245489,
"BEL","GFCF","TOT","QGRWTH","Q","2018-Q1",0.921532489,
"BEL","GFCF","TOT","QGRWTH","Q","2018-Q2",0.174852347,
"BEL","GFCF","TOT","QGRWTH","Q","2018-Q3",0.977464024,
"BEL","GFCF","TOT","QGRWTH","Q","2018-Q4",2.112703108,
"BEL","GFCF","TOT","QGRWTH","Q","2019-Q1",1.764285446,
"BEL","GFCF","TOT","QGRWTH","Q","2019-Q2",0.443590123,
"BEL","GFCF","TOT","QGRWTH","Q","2019-Q3",1.203444723,
"BEL","GFCF","TOT","QGRWTH","Q","2019-Q4",0.541837885,
"BEL","GFCF","TOT","QGRWTH","Q","2020-Q1",-2.759693287,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2020-Q2",-16.153989213,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2020-Q3",18.174962293,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2020-Q4",3.881527084,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2021-Q1",-1.387634156,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2021-Q2",1.465792077,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2021-Q3",-1.957456029,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2021-Q4",-1.790253067,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2022-Q1",2.141705112,"P"
"BEL","GFCF","TOT","QGRWTH","Q","2022-Q2",-1.630434783,"P"
"CAN","GFCF","TOT","QGRWTH","Q","2017-Q1",2.739428409,
"CAN","GFCF","TOT","QGRWTH","Q","2017-Q2",0.876185106,
"CAN","GFCF","TOT","QGRWTH","Q","2017-Q3",0.908171917,
"CAN","GFCF","TOT","QGRWTH","Q","2017-Q4",3.042313081,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q1",0.489020011,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q2",0.20843272,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q3",-1.462445581,
"CAN","GFCF","TOT","QGRWTH","Q","2018-Q4",-1.296769139,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q1",1.319295613,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q2",-0.410636362,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q3",1.819780937,
"CAN","GFCF","TOT","QGRWTH","Q","2019-Q4",-1.006278107,
"CAN","GFCF","TOT","QGRWTH","Q","2020-Q1",0.473395403,
